type,prefix,subset_id,subset_name,subset_types,subset_paths,subset_classes,subset_affects,rule_id,name,class,statement,force,following_information,notes,terms
all,CDS,TRC,FedRAMP-Compatible Trust Centers,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-CSO-FRC,FedRAMP Certification Reports,,"Providers MUST include FedRAMP Certification Reports with their FedRAMP Certification Data without inappropriate modifications, and make such reports available within 2 weeks of receiving the materials from FedRAMP.",MUST,,"FedRAMP provides Certification Reports for all cloud service offerings following the Program Certification path as part of the initial and ongoing FedRAMP Certification process, and may provide Certification Reports for cloud service offerings following the Agency Certification path.","Agency
Certification Data
Certification Path
Cloud Service Offering
Provider"
all,CDS,UTC,Using a Trust Center,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-CSO-FRC,FedRAMP Certification Reports,,"Providers MUST include FedRAMP Certification Reports with their FedRAMP Certification Data without inappropriate modifications, and make such reports available within 2 weeks of receiving the materials from FedRAMP.",MUST,,"FedRAMP provides Certification Reports for all cloud service offerings following the Program Certification path as part of the initial and ongoing FedRAMP Certification process, and may provide Certification Reports for cloud service offerings following the Agency Certification path.","Agency
Certification Data
Certification Path
Cloud Service Offering
Provider"
all,CDS,CSO,General Provider Responsibilities,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-CSO-AVR,Availability Reporting,a,"Providers with Class A Certifications SHOULD maintain a web service, available to all necessary parties, that indicates current and historical availability of core services within the cloud service offering over at least the past 30 days, including availability incidents, in both human-readable and machine-readable formats; this service SHOULD be available even if the primary cloud service offering is unavailable.",SHOULD,,,"All Necessary Parties
Cloud Service Offering
Incident
Machine-Readable
Provider"
all,CDS,TRC,FedRAMP-Compatible Trust Centers,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-CSO-AVR,Availability Reporting,a,"Providers with Class A Certifications SHOULD maintain a web service, available to all necessary parties, that indicates current and historical availability of core services within the cloud service offering over at least the past 30 days, including availability incidents, in both human-readable and machine-readable formats; this service SHOULD be available even if the primary cloud service offering is unavailable.",SHOULD,,,"All Necessary Parties
Cloud Service Offering
Incident
Machine-Readable
Provider"
all,CDS,UTC,Using a Trust Center,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-CSO-AVR,Availability Reporting,a,"Providers with Class A Certifications SHOULD maintain a web service, available to all necessary parties, that indicates current and historical availability of core services within the cloud service offering over at least the past 30 days, including availability incidents, in both human-readable and machine-readable formats; this service SHOULD be available even if the primary cloud service offering is unavailable.",SHOULD,,,"All Necessary Parties
Cloud Service Offering
Incident
Machine-Readable
Provider"
all,CDS,CSO,General Provider Responsibilities,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-CSO-AVR,Availability Reporting,b,"Providers with Class B Certifications MUST maintain a web service, available to all necessary parties, that indicates current and historical availability of core services within the cloud service offering over at least the past 30 days, including availability incidents, in both human-readable and machine-readable formats; this service MUST be available even if the primary cloud service offering is unavailable.",MUST,,,"All Necessary Parties
Cloud Service Offering
Incident
Machine-Readable
Provider"
all,CDS,TRC,FedRAMP-Compatible Trust Centers,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-CSO-AVR,Availability Reporting,b,"Providers with Class B Certifications MUST maintain a web service, available to all necessary parties, that indicates current and historical availability of core services within the cloud service offering over at least the past 30 days, including availability incidents, in both human-readable and machine-readable formats; this service MUST be available even if the primary cloud service offering is unavailable.",MUST,,,"All Necessary Parties
Cloud Service Offering
Incident
Machine-Readable
Provider"
all,CDS,UTC,Using a Trust Center,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-CSO-AVR,Availability Reporting,b,"Providers with Class B Certifications MUST maintain a web service, available to all necessary parties, that indicates current and historical availability of core services within the cloud service offering over at least the past 30 days, including availability incidents, in both human-readable and machine-readable formats; this service MUST be available even if the primary cloud service offering is unavailable.",MUST,,,"All Necessary Parties
Cloud Service Offering
Incident
Machine-Readable
Provider"
all,CDS,CSO,General Provider Responsibilities,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-CSO-AVR,Availability Reporting,c,"Providers with Class C Certifications MUST maintain a web service, available to all necessary parties, that indicates current and historical availability of core services within the cloud service offering over at least the past 30 days, including availability incidents, in both human-readable and machine-readable formats; this service MUST be available even if the primary cloud service offering is unavailable.",MUST,,,"All Necessary Parties
Cloud Service Offering
Incident
Machine-Readable
Provider"
all,CDS,TRC,FedRAMP-Compatible Trust Centers,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-CSO-AVR,Availability Reporting,c,"Providers with Class C Certifications MUST maintain a web service, available to all necessary parties, that indicates current and historical availability of core services within the cloud service offering over at least the past 30 days, including availability incidents, in both human-readable and machine-readable formats; this service MUST be available even if the primary cloud service offering is unavailable.",MUST,,,"All Necessary Parties
Cloud Service Offering
Incident
Machine-Readable
Provider"
all,CDS,UTC,Using a Trust Center,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-CSO-AVR,Availability Reporting,c,"Providers with Class C Certifications MUST maintain a web service, available to all necessary parties, that indicates current and historical availability of core services within the cloud service offering over at least the past 30 days, including availability incidents, in both human-readable and machine-readable formats; this service MUST be available even if the primary cloud service offering is unavailable.",MUST,,,"All Necessary Parties
Cloud Service Offering
Incident
Machine-Readable
Provider"
all,CDS,CSO,General Provider Responsibilities,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-CSO-AVR,Availability Reporting,d,"Providers with Class D Certifications MUST maintain a web service, available to all necessary parties, that indicates current and historical availability of core services within the cloud service offering over at least the past 30 days, including availability incidents, in both human-readable and machine-readable formats; this service MUST be available even if the primary cloud service offering is unavailable.",MUST,,,"All Necessary Parties
Cloud Service Offering
Incident
Machine-Readable
Provider"
all,CDS,TRC,FedRAMP-Compatible Trust Centers,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-CSO-AVR,Availability Reporting,d,"Providers with Class D Certifications MUST maintain a web service, available to all necessary parties, that indicates current and historical availability of core services within the cloud service offering over at least the past 30 days, including availability incidents, in both human-readable and machine-readable formats; this service MUST be available even if the primary cloud service offering is unavailable.",MUST,,,"All Necessary Parties
Cloud Service Offering
Incident
Machine-Readable
Provider"
all,CDS,UTC,Using a Trust Center,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-CSO-AVR,Availability Reporting,d,"Providers with Class D Certifications MUST maintain a web service, available to all necessary parties, that indicates current and historical availability of core services within the cloud service offering over at least the past 30 days, including availability incidents, in both human-readable and machine-readable formats; this service MUST be available even if the primary cloud service offering is unavailable.",MUST,,,"All Necessary Parties
Cloud Service Offering
Incident
Machine-Readable
Provider"
all,CDS,CSO,General Provider Responsibilities,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-CSO-UTC,Use Trust Centers,,Providers MUST use a FedRAMP-compatible trust center to store and share FedRAMP Certification Data with all necessary parties.,MUST,,Rules for FedRAMP-Compatible Trust Centers are explained in the Certification Data Sharing Rules under the FedRAMP-Compatible Trust Centers section (id: CDS-TRC).,"All Necessary Parties
Certification Data
Provider
Trust Center"
all,CDS,TRC,FedRAMP-Compatible Trust Centers,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-CSO-UTC,Use Trust Centers,,Providers MUST use a FedRAMP-compatible trust center to store and share FedRAMP Certification Data with all necessary parties.,MUST,,Rules for FedRAMP-Compatible Trust Centers are explained in the Certification Data Sharing Rules under the FedRAMP-Compatible Trust Centers section (id: CDS-TRC).,"All Necessary Parties
Certification Data
Provider
Trust Center"
all,CDS,UTC,Using a Trust Center,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-CSO-UTC,Use Trust Centers,,Providers MUST use a FedRAMP-compatible trust center to store and share FedRAMP Certification Data with all necessary parties.,MUST,,Rules for FedRAMP-Compatible Trust Centers are explained in the Certification Data Sharing Rules under the FedRAMP-Compatible Trust Centers section (id: CDS-TRC).,"All Necessary Parties
Certification Data
Provider
Trust Center"
all,CDS,CSO,General Provider Responsibilities,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-CSO-CBF,Consistency Between Formats,,Providers MUST use automation to ensure information remains consistent between human-readable and machine-readable formats when FedRAMP Certification Data is provided in both formats.,MUST,,,"Certification Data
Machine-Readable
Provider"
all,CDS,TRC,FedRAMP-Compatible Trust Centers,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-CSO-CBF,Consistency Between Formats,,Providers MUST use automation to ensure information remains consistent between human-readable and machine-readable formats when FedRAMP Certification Data is provided in both formats.,MUST,,,"Certification Data
Machine-Readable
Provider"
all,CDS,UTC,Using a Trust Center,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-CSO-CBF,Consistency Between Formats,,Providers MUST use automation to ensure information remains consistent between human-readable and machine-readable formats when FedRAMP Certification Data is provided in both formats.,MUST,,,"Certification Data
Machine-Readable
Provider"
all,CDS,CSO,General Provider Responsibilities,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-CSO-RIS,Responsible Information Sharing,,"Providers MUST provide sufficient information in FedRAMP Certification Data to support agency authorization decisions but SHOULD NOT include sensitive information that would likely enable a threat actor to gain unauthorized access, cause harm, disrupt operations, or otherwise have a negative adverse impact on the cloud service offering.",MUST,,"This is not a license to exclude accurate risk information, but specifics that would likely lead to compromise should be abstracted. A breach of confidentiality with FedRAMP Certification Data should be anticipated by a secure cloud service provider.","Agency
Certification Data
Cloud Service Offering
Likely
Provider"
all,CDS,TRC,FedRAMP-Compatible Trust Centers,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-CSO-RIS,Responsible Information Sharing,,"Providers MUST provide sufficient information in FedRAMP Certification Data to support agency authorization decisions but SHOULD NOT include sensitive information that would likely enable a threat actor to gain unauthorized access, cause harm, disrupt operations, or otherwise have a negative adverse impact on the cloud service offering.",MUST,,"This is not a license to exclude accurate risk information, but specifics that would likely lead to compromise should be abstracted. A breach of confidentiality with FedRAMP Certification Data should be anticipated by a secure cloud service provider.","Agency
Certification Data
Cloud Service Offering
Likely
Provider"
all,CDS,UTC,Using a Trust Center,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-CSO-RIS,Responsible Information Sharing,,"Providers MUST provide sufficient information in FedRAMP Certification Data to support agency authorization decisions but SHOULD NOT include sensitive information that would likely enable a threat actor to gain unauthorized access, cause harm, disrupt operations, or otherwise have a negative adverse impact on the cloud service offering.",MUST,,"This is not a license to exclude accurate risk information, but specifics that would likely lead to compromise should be abstracted. A breach of confidentiality with FedRAMP Certification Data should be anticipated by a secure cloud service provider.","Agency
Certification Data
Cloud Service Offering
Likely
Provider"
all,CDS,CSO,General Provider Responsibilities,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-CSO-IRP,Include Relevant Policies,,"Providers MUST supply all relevant policies and procedures in the FedRAMP Certification Data, including a human-readable and machine-readable reference that explains at least the following about each included policy and procedure:",MUST,"Name of policy or procedure
Name of file, document, web page, etc.
Brief summary of policy or procedure
Word count of document
Current version
Date of last update
Related FedRAMP Practices (if applicable)",,"Certification Data
FedRAMP Practices
Machine-Readable
Provider"
all,CDS,TRC,FedRAMP-Compatible Trust Centers,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-CSO-IRP,Include Relevant Policies,,"Providers MUST supply all relevant policies and procedures in the FedRAMP Certification Data, including a human-readable and machine-readable reference that explains at least the following about each included policy and procedure:",MUST,"Name of policy or procedure
Name of file, document, web page, etc.
Brief summary of policy or procedure
Word count of document
Current version
Date of last update
Related FedRAMP Practices (if applicable)",,"Certification Data
FedRAMP Practices
Machine-Readable
Provider"
all,CDS,UTC,Using a Trust Center,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-CSO-IRP,Include Relevant Policies,,"Providers MUST supply all relevant policies and procedures in the FedRAMP Certification Data, including a human-readable and machine-readable reference that explains at least the following about each included policy and procedure:",MUST,"Name of policy or procedure
Name of file, document, web page, etc.
Brief summary of policy or procedure
Word count of document
Current version
Date of last update
Related FedRAMP Practices (if applicable)",,"Certification Data
FedRAMP Practices
Machine-Readable
Provider"
all,CDS,CSO,General Provider Responsibilities,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-CSO-HAD,Historical FedRAMP Certification Data,,Providers MUST supply snapshots of FedRAMP Certification Data aligned to Ongoing Certification Reports to all necessary parties; these snapshots MUST be available for the duration of FedRAMP Certification.,MUST,,"Historical snapshots do not need to be reconstructed for periods before the provider's first Ongoing Certification Report, but should be maintained for all subsequent Ongoing Certification Reports.","All Necessary Parties
Certification Data
FedRAMP Certification Report
Ongoing Certification
Ongoing Certification Report (OCR)
Provider"
all,CDS,TRC,FedRAMP-Compatible Trust Centers,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-CSO-HAD,Historical FedRAMP Certification Data,,Providers MUST supply snapshots of FedRAMP Certification Data aligned to Ongoing Certification Reports to all necessary parties; these snapshots MUST be available for the duration of FedRAMP Certification.,MUST,,"Historical snapshots do not need to be reconstructed for periods before the provider's first Ongoing Certification Report, but should be maintained for all subsequent Ongoing Certification Reports.","All Necessary Parties
Certification Data
FedRAMP Certification Report
Ongoing Certification
Ongoing Certification Report (OCR)
Provider"
all,CDS,UTC,Using a Trust Center,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-CSO-HAD,Historical FedRAMP Certification Data,,Providers MUST supply snapshots of FedRAMP Certification Data aligned to Ongoing Certification Reports to all necessary parties; these snapshots MUST be available for the duration of FedRAMP Certification.,MUST,,"Historical snapshots do not need to be reconstructed for periods before the provider's first Ongoing Certification Report, but should be maintained for all subsequent Ongoing Certification Reports.","All Necessary Parties
Certification Data
FedRAMP Certification Report
Ongoing Certification
Ongoing Certification Report (OCR)
Provider"
all,CDS,CSO,General Provider Responsibilities,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-CSO-PSM,Per-Service Certification Materials,a,Providers with Class A Certifications MAY supply per-service FedRAMP Certification materials.,MAY,,"Providers determine what they consider to be separate services, based on maximizing the customer experience for agencies who may only adopt some services and not others.
Providers are encouraged to provide a single comprehensive set of materials for all shared aspects of the service offering and only provide separate materials for unique aspects of each service to minimize the burden on providers and agencies.","Agency
Provider"
all,CDS,TRC,FedRAMP-Compatible Trust Centers,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-CSO-PSM,Per-Service Certification Materials,a,Providers with Class A Certifications MAY supply per-service FedRAMP Certification materials.,MAY,,"Providers determine what they consider to be separate services, based on maximizing the customer experience for agencies who may only adopt some services and not others.
Providers are encouraged to provide a single comprehensive set of materials for all shared aspects of the service offering and only provide separate materials for unique aspects of each service to minimize the burden on providers and agencies.","Agency
Provider"
all,CDS,UTC,Using a Trust Center,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-CSO-PSM,Per-Service Certification Materials,a,Providers with Class A Certifications MAY supply per-service FedRAMP Certification materials.,MAY,,"Providers determine what they consider to be separate services, based on maximizing the customer experience for agencies who may only adopt some services and not others.
Providers are encouraged to provide a single comprehensive set of materials for all shared aspects of the service offering and only provide separate materials for unique aspects of each service to minimize the burden on providers and agencies.","Agency
Provider"
all,CDS,CSO,General Provider Responsibilities,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-CSO-PSM,Per-Service Certification Materials,b,Providers with Class B Certifications MAY supply per-service FedRAMP Certification materials.,MAY,,"Providers determine what they consider to be separate services, based on maximizing the customer experience for agencies who may only adopt some services and not others.
Providers are encouraged to provide a single comprehensive set of materials for all shared aspects of the service offering and only provide separate materials for unique aspects of each service to minimize the burden on providers and agencies.","Agency
Provider"
all,CDS,TRC,FedRAMP-Compatible Trust Centers,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-CSO-PSM,Per-Service Certification Materials,b,Providers with Class B Certifications MAY supply per-service FedRAMP Certification materials.,MAY,,"Providers determine what they consider to be separate services, based on maximizing the customer experience for agencies who may only adopt some services and not others.
Providers are encouraged to provide a single comprehensive set of materials for all shared aspects of the service offering and only provide separate materials for unique aspects of each service to minimize the burden on providers and agencies.","Agency
Provider"
all,CDS,UTC,Using a Trust Center,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-CSO-PSM,Per-Service Certification Materials,b,Providers with Class B Certifications MAY supply per-service FedRAMP Certification materials.,MAY,,"Providers determine what they consider to be separate services, based on maximizing the customer experience for agencies who may only adopt some services and not others.
Providers are encouraged to provide a single comprehensive set of materials for all shared aspects of the service offering and only provide separate materials for unique aspects of each service to minimize the burden on providers and agencies.","Agency
Provider"
all,CDS,CSO,General Provider Responsibilities,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-CSO-PSM,Per-Service Certification Materials,c,Providers with Class C Certifications MAY supply per-service FedRAMP Certification materials.,MAY,,"Providers determine what they consider to be separate services, based on maximizing the customer experience for agencies who may only adopt some services and not others.
Providers are encouraged to provide a single comprehensive set of materials for all shared aspects of the service offering and only provide separate materials for unique aspects of each service to minimize the burden on providers and agencies.","Agency
Provider"
all,CDS,TRC,FedRAMP-Compatible Trust Centers,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-CSO-PSM,Per-Service Certification Materials,c,Providers with Class C Certifications MAY supply per-service FedRAMP Certification materials.,MAY,,"Providers determine what they consider to be separate services, based on maximizing the customer experience for agencies who may only adopt some services and not others.
Providers are encouraged to provide a single comprehensive set of materials for all shared aspects of the service offering and only provide separate materials for unique aspects of each service to minimize the burden on providers and agencies.","Agency
Provider"
all,CDS,UTC,Using a Trust Center,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-CSO-PSM,Per-Service Certification Materials,c,Providers with Class C Certifications MAY supply per-service FedRAMP Certification materials.,MAY,,"Providers determine what they consider to be separate services, based on maximizing the customer experience for agencies who may only adopt some services and not others.
Providers are encouraged to provide a single comprehensive set of materials for all shared aspects of the service offering and only provide separate materials for unique aspects of each service to minimize the burden on providers and agencies.","Agency
Provider"
all,CDS,CSO,General Provider Responsibilities,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-CSO-PSM,Per-Service Certification Materials,d,Providers with Class D Certifications MUST supply per-service FedRAMP Certification materials.,MUST,,"Providers determine what they consider to be separate services, based on maximizing the customer experience for agencies who may only adopt some services and not others.
Providers are encouraged to provide a single comprehensive set of materials for all shared aspects of the service offering and only provide separate materials for unique aspects of each service to minimize the burden on providers and agencies.","Agency
Provider"
all,CDS,TRC,FedRAMP-Compatible Trust Centers,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-CSO-PSM,Per-Service Certification Materials,d,Providers with Class D Certifications MUST supply per-service FedRAMP Certification materials.,MUST,,"Providers determine what they consider to be separate services, based on maximizing the customer experience for agencies who may only adopt some services and not others.
Providers are encouraged to provide a single comprehensive set of materials for all shared aspects of the service offering and only provide separate materials for unique aspects of each service to minimize the burden on providers and agencies.","Agency
Provider"
all,CDS,UTC,Using a Trust Center,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-CSO-PSM,Per-Service Certification Materials,d,Providers with Class D Certifications MUST supply per-service FedRAMP Certification materials.,MUST,,"Providers determine what they consider to be separate services, based on maximizing the customer experience for agencies who may only adopt some services and not others.
Providers are encouraged to provide a single comprehensive set of materials for all shared aspects of the service offering and only provide separate materials for unique aspects of each service to minimize the burden on providers and agencies.","Agency
Provider"
all,CDS,CSO,General Provider Responsibilities,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-CSO-RPS,Responsible Public Package Sharing,,Providers MAY responsibly share some or all of the information in a FedRAMP Certification Package publicly or with other parties if the provider determines doing so will NOT likely have an adverse effect on the cloud service offering.,MAY,,,"Certification Package
Cloud Service Offering
Likely
Provider
Responsibly"
all,CDS,TRC,FedRAMP-Compatible Trust Centers,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-CSO-RPS,Responsible Public Package Sharing,,Providers MAY responsibly share some or all of the information in a FedRAMP Certification Package publicly or with other parties if the provider determines doing so will NOT likely have an adverse effect on the cloud service offering.,MAY,,,"Certification Package
Cloud Service Offering
Likely
Provider
Responsibly"
all,CDS,UTC,Using a Trust Center,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-CSO-RPS,Responsible Public Package Sharing,,Providers MAY responsibly share some or all of the information in a FedRAMP Certification Package publicly or with other parties if the provider determines doing so will NOT likely have an adverse effect on the cloud service offering.,MAY,,,"Certification Package
Cloud Service Offering
Likely
Provider
Responsibly"
all,CDS,CSO,General Provider Responsibilities,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-TRC-USH,Uninterrupted Sharing,,Trust centers MUST share FedRAMP Certification Data with all necessary parties without interruption.,MUST,,"""Without interruption"" means that parties should not have to request manual approval each time they need to access FedRAMP Certification Data or go through a complicated process. The preferred way of ensuring access without interruption is to use on-demand just-in-time access provisioning.","All Necessary Parties
Certification Data
Trust Center"
all,CDS,TRC,FedRAMP-Compatible Trust Centers,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-TRC-USH,Uninterrupted Sharing,,Trust centers MUST share FedRAMP Certification Data with all necessary parties without interruption.,MUST,,"""Without interruption"" means that parties should not have to request manual approval each time they need to access FedRAMP Certification Data or go through a complicated process. The preferred way of ensuring access without interruption is to use on-demand just-in-time access provisioning.","All Necessary Parties
Certification Data
Trust Center"
all,CDS,UTC,Using a Trust Center,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-TRC-USH,Uninterrupted Sharing,,Trust centers MUST share FedRAMP Certification Data with all necessary parties without interruption.,MUST,,"""Without interruption"" means that parties should not have to request manual approval each time they need to access FedRAMP Certification Data or go through a complicated process. The preferred way of ensuring access without interruption is to use on-demand just-in-time access provisioning.","All Necessary Parties
Certification Data
Trust Center"
all,CDS,CSO,General Provider Responsibilities,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-TRC-PAC,Programmatic Access,,"Trust centers MUST provide documented programmatic access to all FedRAMP Certification Data, including programmatic access to human-readable materials.",MUST,,,"Certification Data
Trust Center"
all,CDS,TRC,FedRAMP-Compatible Trust Centers,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-TRC-PAC,Programmatic Access,,"Trust centers MUST provide documented programmatic access to all FedRAMP Certification Data, including programmatic access to human-readable materials.",MUST,,,"Certification Data
Trust Center"
all,CDS,UTC,Using a Trust Center,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-TRC-PAC,Programmatic Access,,"Trust centers MUST provide documented programmatic access to all FedRAMP Certification Data, including programmatic access to human-readable materials.",MUST,,,"Certification Data
Trust Center"
all,CDS,CSO,General Provider Responsibilities,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-TRC-AAI,Agency Access Inventory,,Trust centers MUST maintain an inventory and history of federal agency users or systems with access to FedRAMP Certification Data and MUST make this information available to FedRAMP upon request.,MUST,,,"Agency
Certification Data
Trust Center"
all,CDS,TRC,FedRAMP-Compatible Trust Centers,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-TRC-AAI,Agency Access Inventory,,Trust centers MUST maintain an inventory and history of federal agency users or systems with access to FedRAMP Certification Data and MUST make this information available to FedRAMP upon request.,MUST,,,"Agency
Certification Data
Trust Center"
all,CDS,UTC,Using a Trust Center,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-TRC-AAI,Agency Access Inventory,,Trust centers MUST maintain an inventory and history of federal agency users or systems with access to FedRAMP Certification Data and MUST make this information available to FedRAMP upon request.,MUST,,,"Agency
Certification Data
Trust Center"
all,CDS,CSO,General Provider Responsibilities,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-TRC-ACL,Access Logging,,"Trust centers MUST log access to FedRAMP Certification Data and store summaries of access for at least six months; such information, as it pertains to specific parties, SHOULD be made available upon request by those parties.",MUST,,,"Certification Data
Trust Center"
all,CDS,TRC,FedRAMP-Compatible Trust Centers,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-TRC-ACL,Access Logging,,"Trust centers MUST log access to FedRAMP Certification Data and store summaries of access for at least six months; such information, as it pertains to specific parties, SHOULD be made available upon request by those parties.",MUST,,,"Certification Data
Trust Center"
all,CDS,UTC,Using a Trust Center,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-TRC-ACL,Access Logging,,"Trust centers MUST log access to FedRAMP Certification Data and store summaries of access for at least six months; such information, as it pertains to specific parties, SHOULD be made available upon request by those parties.",MUST,,,"Certification Data
Trust Center"
all,CDS,CSO,General Provider Responsibilities,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-TRC-HMR,Human and Machine-Readable Certification Data,,Trust centers SHOULD make FedRAMP Certification Data available to view and download in both human-readable and machine-readable formats.,SHOULD,,,"Certification Data
Machine-Readable
Trust Center"
all,CDS,TRC,FedRAMP-Compatible Trust Centers,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-TRC-HMR,Human and Machine-Readable Certification Data,,Trust centers SHOULD make FedRAMP Certification Data available to view and download in both human-readable and machine-readable formats.,SHOULD,,,"Certification Data
Machine-Readable
Trust Center"
all,CDS,UTC,Using a Trust Center,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-TRC-HMR,Human and Machine-Readable Certification Data,,Trust centers SHOULD make FedRAMP Certification Data available to view and download in both human-readable and machine-readable formats.,SHOULD,,,"Certification Data
Machine-Readable
Trust Center"
all,CDS,CSO,General Provider Responsibilities,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-TRC-SSM,Self-Service Access Management,,Trust centers SHOULD include features that encourage all necessary parties to provision and manage access to FedRAMP Certification Data for their users and services directly.,SHOULD,,,"All Necessary Parties
Certification Data
Trust Center"
all,CDS,TRC,FedRAMP-Compatible Trust Centers,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-TRC-SSM,Self-Service Access Management,,Trust centers SHOULD include features that encourage all necessary parties to provision and manage access to FedRAMP Certification Data for their users and services directly.,SHOULD,,,"All Necessary Parties
Certification Data
Trust Center"
all,CDS,UTC,Using a Trust Center,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-TRC-SSM,Self-Service Access Management,,Trust centers SHOULD include features that encourage all necessary parties to provision and manage access to FedRAMP Certification Data for their users and services directly.,SHOULD,,,"All Necessary Parties
Certification Data
Trust Center"
all,CDS,CSO,General Provider Responsibilities,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-UTC-AAD,Agency Access Denial,,Providers MUST notify FedRAMP within 5 business days of denying an agency access request for FedRAMP Certification Data.,MUST,,,"Agency
Certification Data
Provider"
all,CDS,TRC,FedRAMP-Compatible Trust Centers,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-UTC-AAD,Agency Access Denial,,Providers MUST notify FedRAMP within 5 business days of denying an agency access request for FedRAMP Certification Data.,MUST,,,"Agency
Certification Data
Provider"
all,CDS,UTC,Using a Trust Center,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-UTC-AAD,Agency Access Denial,,Providers MUST notify FedRAMP within 5 business days of denying an agency access request for FedRAMP Certification Data.,MUST,,,"Agency
Certification Data
Provider"
all,CDS,CSO,General Provider Responsibilities,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-UTC-AGA,Agency Access,,Providers SHOULD supply access to the FedRAMP Certification Package with agencies upon request.,SHOULD,,,"Agency
Certification Package
Provider"
all,CDS,TRC,FedRAMP-Compatible Trust Centers,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-UTC-AGA,Agency Access,,Providers SHOULD supply access to the FedRAMP Certification Package with agencies upon request.,SHOULD,,,"Agency
Certification Package
Provider"
all,CDS,UTC,Using a Trust Center,"20x,Rev5","Program,Agency","B,C,D",Providers,CDS-UTC-AGA,Agency Access,,Providers SHOULD supply access to the FedRAMP Certification Package with agencies upon request.,SHOULD,,,"Agency
Certification Package
Provider"
